state,location,million_plus_city,lat,lon,crash_date,crash_day,article_date,month,vehicle1,vehicle2,killed,injured,age,gender,road_type,crash_type
Tamil Nadu,Maduranthkam,Nil,12.500351971025928,79.87519711357636,2022-07-11,Monday,2022-07-13,July,Car,Truck,1,4,40,Male,NH,With Parked Vehicle
Karnataka,Nelamangala,Nil,13.098492041784796,77.38569255067814,2022-07-11,Monday,2022-07-13,July,Two Wheeler,Truck,1,1,25,Male,NH,With Parked Vehicle
Tamil Nadu,Trichy Road Flyover,Coimbatore,10.997876858150065,76.98582383011842,2022-07-14,Thursday,2022-07-14,July,Two Wheeler,Nil,1,0,51,Male,OR,Run Off Road
Uttarakhand,Kaudiyala,Nil,30.074442159413845,78.50161094097407,2022-07-13,Wednesday,2022-07-14,July,Car,Gorge,4,0,"52,40,25,19",Both,NH,Vehicle Overturn
Telangana,Nakkalla Palli,Nil,16.084111910361987,77.89860863476197,2022-07-13,Wednesday,2022-07-14,July,Car,Lorry,3,0,"12,8,25",Both,NH,With Parked Vehicle
Punjab,Gharuan,Nil,30.772481864010384,76.56449314808299,2022-07-13,Wednesday,2022-07-15,July,Two Wheeler,Car,2,2,"30,4",Both,OR,Hit From Back
Punjab,Lalru,Nil,30.48476329448971,76.79816771294107,2022-07-13,Wednesday,2022-07-15,July,Bicycle,Bus,1,0,75,Male,NH,Hit From Back
Telangana,Khairatabad,Hyderabad,17.411259609565853,78.46070920569524,2022-07-15,Friday,2022-07-16,July,Two Wheeler,Divider,2,0,"22,22",Male,OR,Fixed Object Collision
Tamil Nadu,Otteri,Chennai,13.09152616715352,80.25110952760691,2022-07-15,Friday,2022-07-17,July,Auto Rickshaw,Nil,1,0,33,Male,OR,Run Off Road
Tamil Nadu,Kanchipuram,Nil,12.818966368687123,79.69401125195076,2022-07-15,Friday,2022-07-17,July,Pedestrian,Truck,2,0,"37,60",Both,SH,Hit and Run
Maharashtra,Chanakya Junction,Mumbai,19.02125762018209,73.00818907330417,2022-07-17,Sunday,2022-07-17,July,Two Wheeler,Car,1,0,27,Male,OR,Head On Collision
